#,DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
1,2018-10-11,1JANATAMF,4.5,4.6,4.5,4.5,4.5,4.6,45,0.152,33676
2,2018-10-10,1JANATAMF,4.6,4.6,4.5,4.5,4.6,4.5,25,0.061,13274
3,2018-10-09,1JANATAMF,4.5,4.7,4.5,4.6,4.5,4.6,42,0.282,62326
4,2018-10-08,1JANATAMF,4.6,4.7,4.5,4.7,4.6,4.7,58,0.623,135068
5,2018-10-07,1JANATAMF,4.6,4.7,4.6,4.7,4.7,4.7,53,0.535,113882
6,2018-10-04,1JANATAMF,4.8,4.8,4.7,4.7,4.7,4.8,36,0.239,50702
7,2018-10-03,1JANATAMF,4.8,4.8,4.6,4.7,4.8,4.7,38,0.14,29449
8,2018-10-02,1JANATAMF,4.7,4.9,4.5,4.5,4.7,4.6,58,0.333,69490
9,2018-10-01,1JANATAMF,4.5,4.7,4.5,4.5,4.6,4.5,55,0.663,144519
10,2018-09-30,1JANATAMF,4.4,4.6,4.4,4.5,4.5,4.4,51,0.38,84612
11,2018-09-27,1JANATAMF,4.6,4.6,4.4,4.6,4.4,4.6,86,1.332,298358
12,2018-09-26,1JANATAMF,4.6,4.7,4.6,4.7,4.6,4.7,57,0.651,141201
13,2018-09-25,1JANATAMF,4.6,4.9,4.6,4.8,4.7,4.8,72,0.867,181350
14,2018-09-24,1JANATAMF,4.8,4.9,4.8,4.9,4.8,5,61,0.685,140891
15,2018-09-23,1JANATAMF,5,5,5,5,5,5,37,0.406,81173
16,2018-09-20,1JANATAMF,5,5.1,5,5,5,5,39,0.295,58935
17,2018-09-19,1JANATAMF,5,5.1,5,5,5,5.1,14,0.032,6302
18,2018-09-18,1JANATAMF,5.1,5.3,5,5.1,5.1,5.2,85,0.687,136503
19,2018-09-17,1JANATAMF,5.3,5.3,5,5.2,5.2,5.3,55,0.539,104175
20,2018-09-16,1JANATAMF,5.3,5.6,5.2,5.6,5.3,6,93,0.844,159544
21,2018-09-13,1JANATAMF,0,0,0,0,6,6,0,0,0
22,2018-09-12,1JANATAMF,6,6,5.9,5.9,6,5.9,43,0.732,122326
23,2018-09-11,1JANATAMF,6,6,5.7,5.8,5.9,5.9,69,0.572,98009
24,2018-09-10,1JANATAMF,5.9,6,5.9,5.9,5.9,6,41,0.588,99497
25,2018-09-09,1JANATAMF,6,6,5.9,5.9,6,6,31,0.214,35963
26,2018-09-06,1JANATAMF,6,6.1,5.9,6,6,6,55,0.718,120332
27,2018-09-05,1JANATAMF,6,6.1,5.9,6,6,6.1,57,1.82,302856
28,2018-09-04,1JANATAMF,6,6.1,6,6.1,6.1,6.1,24,0.091,14971
29,2018-09-03,1JANATAMF,6.1,6.2,6.1,6.2,6.1,6.2,44,0.14,22898
30,2018-08-30,1JANATAMF,6.2,6.2,6.1,6.1,6.2,6.2,51,0.438,71503
31,2018-08-29,1JANATAMF,6.2,6.3,6.1,6.2,6.2,6.2,21,0.061,9775
32,2018-08-28,1JANATAMF,6.2,6.3,6.1,6.1,6.2,6.1,44,0.722,116405
33,2018-08-27,1JANATAMF,6.1,6.2,6.1,6.1,6.1,6.2,26,0.157,25499
34,2018-08-26,1JANATAMF,6.3,6.3,6.1,6.1,6.2,6.1,34,0.218,35336
35,2018-08-20,1JANATAMF,6.2,6.2,6.1,6.1,6.1,6.1,16,0.058,9480
36,2018-08-19,1JANATAMF,6,6.2,6,6.2,6.1,6.2,42,0.301,49145
37,2018-08-16,1JANATAMF,6.2,6.3,6.1,6.2,6.2,6.2,56,0.757,122741
38,2018-08-14,1JANATAMF,6.2,6.3,6.1,6.1,6.2,6.1,53,0.589,94616
39,2018-08-13,1JANATAMF,6.1,6.2,6.1,6.1,6.1,6.2,59,1.407,227739
40,2018-08-12,1JANATAMF,6.2,6.2,6.2,6.2,6.2,6.2,30,0.269,43420
41,2018-08-09,1JANATAMF,6.2,6.4,6.2,6.3,6.2,6.2,62,1.326,213810
42,2018-08-08,1JANATAMF,6.2,6.3,6.2,6.2,6.2,6.2,36,0.324,52060
43,2018-08-07,1JANATAMF,6.2,6.3,6.2,6.2,6.2,6.3,29,0.387,62412
44,2018-08-06,1JANATAMF,6.2,6.3,6.2,6.3,6.3,6.2,51,1.523,241819
45,2018-08-05,1JANATAMF,6.2,6.3,6.2,6.3,6.2,6.4,24,0.077,12351
