#,DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
1,2018-10-11,AAMRANET,71.5,72.8,71.1,72.8,71.4,72,351,8.788,122466
2,2018-10-10,AAMRANET,71.9,73.4,71.7,73.1,72,73.4,590,12.428,171523
3,2018-10-09,AAMRANET,73.2,74.8,73.1,74.4,73.4,74.1,270,6.989,94854
4,2018-10-08,AAMRANET,73.9,75.4,73.1,73.3,74.1,73,454,16.14,216840
5,2018-10-07,AAMRANET,73.5,74.1,72.7,73.9,73,73.3,457,14.295,194716
6,2018-10-04,AAMRANET,73.9,74.5,73,73.6,73.3,73.3,594,17.516,237454
7,2018-10-03,AAMRANET,73.4,74,73.1,73.1,73.3,72.9,221,4.519,61510
8,2018-10-02,AAMRANET,72.8,73.8,72.7,73.8,72.9,72.6,273,5.856,80292
9,2018-10-01,AAMRANET,72.9,75.2,72.2,73.9,72.6,72.7,510,15.429,210033
10,2018-09-30,AAMRANET,72.8,74,72.5,73.5,72.7,73.5,511,12.612,172976
11,2018-09-27,AAMRANET,73.7,76,73.1,75.6,73.5,75.5,374,7.649,103252
12,2018-09-26,AAMRANET,76.2,76.9,75,76.9,75.5,75.4,258,6.564,86610
13,2018-09-25,AAMRANET,75,77.7,75,77.7,75.4,75.6,377,10.106,133617
14,2018-09-24,AAMRANET,76.5,78.7,75.3,78.2,75.6,78,496,11.849,154654
15,2018-09-23,AAMRANET,78,80.5,77.5,80.1,78,79.9,376,11.388,144230
16,2018-09-20,AAMRANET,80.2,81.7,78,78,79.9,78.2,592,24.148,302583
17,2018-09-19,AAMRANET,78.2,79.5,77.9,78.6,78.2,78.8,570,16.538,210711
18,2018-09-18,AAMRANET,78.9,80.7,78.5,80.7,78.8,79.4,479,14.713,186165
19,2018-09-17,AAMRANET,80.6,81.7,78.9,81.7,79.4,81.7,729,17.625,220615
20,2018-09-16,AAMRANET,81.4,83.6,81.4,82.5,81.7,82.3,514,22.515,273640
21,2018-09-13,AAMRANET,81.8,84.5,81,81,82.3,80.9,968,39.238,472609
22,2018-09-12,AAMRANET,80.6,83,80.4,82,80.9,81.8,837,30.539,375991
23,2018-09-11,AAMRANET,81.1,85.6,81,85,81.8,84.7,1081,34.934,421633
24,2018-09-10,AAMRANET,84.5,85.7,82.8,84,84.7,83.1,1490,54.839,650076
25,2018-09-09,AAMRANET,83,84.5,81.5,81.8,83.1,81.3,1743,62.579,754345
26,2018-09-06,AAMRANET,81.4,81.7,80.2,81,81.3,80.3,867,29.267,361224
27,2018-09-05,AAMRANET,80.4,81.6,78.6,79.7,80.3,78.4,686,21.018,261882
28,2018-09-04,AAMRANET,79.1,80.9,78.2,80.9,78.4,80.1,553,14.506,183475
29,2018-09-03,AAMRANET,79.7,82.5,79.7,81.9,80.1,81,700,21.141,260484
30,2018-08-30,AAMRANET,80.8,83,79,79,81,78.1,837,25.496,314509
31,2018-08-29,AAMRANET,78,79.1,78,78.8,78.1,78.6,449,18.239,232364
32,2018-08-28,AAMRANET,78.3,79.9,78.2,78.4,78.6,78.3,524,12.009,152014
